No,Nama,Kecamatan,Kabupaten/Kota,Alamat Lengkap,Jenis Limbah,Latitude,Longitude
1,Bank Sampah Alam Lestari Ceme,Sanden,Kabupaten Bantul,"Ceme, Srigading, Kec. Sanden, Kabupaten Bantul 55763",Daur ulang,-7.965794,110.283185
2,Bank Sampah Bresih,Kasihan,Kabupaten Bantul,"Jl. Nitiprayan RT.4, Jomegatan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul 55182",Daur ulang + edukasi sortir,-7.816096,110.343969
3,Bank Sampah Gemah Ripah,Bantul,Kabupaten Bantul,"Jl. Badegan RT.12, Bejen, Kec. Bantul, Kabupaten Bantul 55711",Semua jenis limbah,-7.894592,110.329283
4,Bank Sampah Hijau Lestari,Sanden,Kabupaten Bantul,"Sanden, Kabupaten Bantul, DIY",Daur ulang,-7.969,110.261
5,Bank Sampah Induk Bantul,Bantul,Kabupaten Bantul,"Kabupaten Bantul, DIY",Semua jenis,-7.892,110.328
6,Bank Sampah Induk Tamantirto Resik Lestari,Kasihan,Kabupaten Bantul,"Jetis, Tamantirto, Kec. Kasihan, Kabupaten Bantul 55184",Daur ulang (jemput gratis),-7.834752,110.320749
7,Bank Sampah Kenanga,Kasihan,Kabupaten Bantul,"Cungkuk, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul 55184",Daur ulang,-7.791198,110.345646
8,Bank Sampah Mandiri,Banguntapan,Kabupaten Bantul,"Salakan, Potorono, Kec. Banguntapan, Kabupaten Bantul 55196","Organik, anorganik",-7.82987,110.426252
9,Bank Sampah Migunani,Kasihan,Kabupaten Bantul,"Bekelan, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul 55184","Plastik, kertas, kaca, anorganik",-7.815826,110.342353
10,Bank Sampah Mitra Melati,Kasihan,Kabupaten Bantul,"Jl. Tambak, Tambi, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul 55184",Daur ulang,-7.769778,110.350618
11,Bank Sampah Mutiara Sampah,Banguntapan,Kabupaten Bantul,"Banguntapan, Kabupaten Bantul, DIY",Daur ulang,-7.818,110.422
12,Bank Sampah Sriasih,Kasihan,Kabupaten Bantul,"Gg. Kantil, Sribitan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul 55184",Daur ulang,-7.839161,110.299007
13,Bank Sampah Subur Makmur,Sewon,Kabupaten Bantul,"Karanggede, Pendowoharjo, Kec. Sewon, Kabupaten Bantul 55185",Daur ulang,-7.873996,110.333541
14,Bank Sampah Sumber Berkah,Sedayu,Kabupaten Bantul,"Kaliurang, Argomulyo, Kec. Sedayu, Kabupaten Bantul 55752","Organik (kompos), anorganik",-7.820131,110.27839
15,Bank Sampah Sunten,Banguntapan,Kabupaten Bantul,"Jl. Ringroad Timur No.100, Sorowajan, Kec. Banguntapan, Kabupaten Bantul 55198",Daur ulang,-7.808569,110.408862
16,Bank Sampah Tania Asri,Kasihan,Kabupaten Bantul,"Karangpule, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul 55184",Daur ulang,-7.844879,110.339009
17,Margo Rosok Mitra Bank Sampah DIY,Pleret,Kabupaten Bantul,"Srumbung RT 07, Segoroyoso, Kec. Pleret, Kabupaten Bantul 55791",Daur ulang (rosok/rongsokan),-7.892811,110.415663
18,TPS 3R Panggungharjo,Sewon,Kabupaten Bantul,"Sawit, Panggungharjo, Kec. Sewon, Kabupaten Bantul 55188","Organik, anorganik, kompos",-7.840496,110.354195
19,TPS Patangpuluhan,Kasihan,Kabupaten Bantul,"Sanggrahan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul 55182",Sampah umum campuran,-7.811226,110.345421
20,TPS Sindet,Imogiri,Kabupaten Bantul,"Sindetsindet, Wukirsari, Kec. Imogiri, Kabupaten Bantul 55782",Sampah umum,-7.902013,110.390664
21,TPS3R Bawuran Bersih,Pleret,Kabupaten Bantul,"Bawuran, Kec. Pleret, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.858,110.409
22,TPS3R KSM Salakan Bersemi,Sewon,Kabupaten Bantul,"Bangunharjo, Kec. Sewon, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.847,110.346
23,TPS3R Manunggal Resik,Kasihan,Kabupaten Bantul,"Kasihan, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.836,110.33
24,TPS3R Mulyo Asri,Bambanglipuro,Kabupaten Bantul,"Bambanglipuro, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.972,110.295
25,TPS3R Panjangrejo Asri,Pundong,Kabupaten Bantul,"Panjangrejo, Kec. Pundong, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.945,110.326
26,TPS3R Purwo Berhati (Bantul),Bantul,Kabupaten Bantul,"Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.88,110.33
27,TPS3R Tamanan Berseri,Banguntapan,Kabupaten Bantul,"Tamanan, Kec. Banguntapan, Kabupaten Bantul, DIY",Sampah umum & daur ulang,-7.824,110.432
28,TPST 3R Dingkikan,Sedayu,Kabupaten Bantul,"Jl. Argodadi, Dingkikan, Kec. Sedayu, Kabupaten Bantul 55752",Sampah terpadu 3R,-7.83061,110.237929
29,TPST 3R Palbapang,Bantul,Kabupaten Bantul,"Taskombang, Palbapang, Kec. Bantul, Kabupaten Bantul 55713",Sampah terpadu,-7.901928,110.325002
30,TPST Modalan,Banguntapan,Kabupaten Bantul,"Modalan, Kec. Banguntapan, Kabupaten Bantul 55198",Sampah terpadu,-7.821446,110.411292
31,TPST Piyungan,Piyungan,Kabupaten Bantul,"Sitimulyo, Kec. Piyungan, Kabupaten Bantul, DIY",Sampah terpadu,-7.8615,110.44
32,Bank Sampah (Wonosari Siraman),Wonosari,Kabupaten Gunungkidul,"Winong, Siraman, Kec. Wonosari, Kabupaten Gunungkidul 55851",Daur ulang,-7.977322,110.586351
33,Bank Sampah Asri,Wonosari,Kabupaten Gunungkidul,"Jl. Madusari No.55, Kec. Wonosari, Kabupaten Gunungkidul 55851",Daur ulang,-7.969973,110.600349
34,Bank Sampah Catur Mandiri,Wonosari,Kabupaten Gunungkidul,"Selang IV, Selang, Kec. Wonosari, Kabupaten Gunungkidul 55851",Anorganik bernilai ekonomis,-7.961394,110.622211
35,Bank Sampah Induk K3S Jatikuning,Nglipar,Kabupaten Gunungkidul,"Nglipar, Kabupaten Gunungkidul, DIY",Daur ulang,-7.945,110.61
36,Bank Sampah Kenanga Sambirejo,Ngawen,Kabupaten Gunungkidul,"Ngawen, Kabupaten Gunungkidul, DIY",Daur ulang,-7.919,110.549
37,Bank Sampah Menur,Playen,Kabupaten Gunungkidul,"Playen, Kabupaten Gunungkidul, DIY",Daur ulang,-7.946,110.549
38,Bank Sampah Srikandi Mandiri Tawarsari,Wonosari,Kabupaten Gunungkidul,"Tawarsari RT.06/RW.18, Kec. Wonosari, Kabupaten Gunungkidul 55851",Daur ulang,-7.957492,110.610694
39,Kantor TPA Wukirsari,Wonosari,Kabupaten Gunungkidul,"Wukirsari, Baleharjo, Kec. Wonosari, Kabupaten Gunungkidul 55851",Sampah umum,-7.988205,110.616898
40,TPS 3R Berkah Manunggal,Karangmojo,Kabupaten Gunungkidul,"Karangmojo, Kabupaten Gunungkidul, DIY",Sampah umum & daur ulang,-7.965,110.641
41,TPS3R Amrih Lestari I,Semanu,Kabupaten Gunungkidul,"Semanu, Kabupaten Gunungkidul, DIY",Sampah umum & daur ulang,-7.998,110.622
42,TPS3R Amrih Lestari II,Semanu,Kabupaten Gunungkidul,"Semanu, Kabupaten Gunungkidul, DIY",Sampah umum & daur ulang,-7.997,110.627
43,TPS3R Garda Peksi,Wonosari,Kabupaten Gunungkidul,"Jl. Ki Ageng Wonontoro, Tawarsari, Kec. Wonosari, Kabupaten Gunungkidul 55851",Sampah umum & daur ulang,-7.95498,110.612812
44,TPS3R Margomulyo,Playen,Kabupaten Gunungkidul,"Playen, Kabupaten Gunungkidul, DIY",Sampah umum & daur ulang,-7.945,110.548
45,TPS3R Ngawu Asri,Playen,Kabupaten Gunungkidul,"Sumber Rejo, Ngawu, Kec. Playen, Kabupaten Gunungkidul 55861",Sampah umum,-7.939381,110.547619
46,TPS3R Pampang Mbulu Makmur,Paliyan,Kabupaten Gunungkidul,"Paliyan, Kabupaten Gunungkidul, DIY",Sampah umum & daur ulang,-8.016,110.557
47,Bank Sampah Barokah,Panjatan,Kabupaten Kulon Progo,"Gebyakan, Bugel, Kec. Panjatan, Kabupaten Kulon Progo 55655",Daur ulang,-7.92611,110.167566
48,Bank Sampah Bunda Mandiri Kali Agung,Sentolo,Kabupaten Kulon Progo,"Jl. Pengasih No.16, Banyunganti Kidul, Kaliagung, Kec. Sentolo, Kabupaten Kulon Progo 55664",Daur ulang,-7.833533,110.204218
49,Bank Sampah Dadi Asri,Wates,Kabupaten Kulon Progo,"Jl. Yudhistira, Kuwonan, Triharjo, Kec. Wates, Kabupaten Kulon Progo 55651",Daur ulang,-7.890651,110.130557
50,Bank Sampah Dhuawar Sejahtera Kroco,Pengasih,Kabupaten Kulon Progo,"Kroco RT.21/RW.12, Sendangsari, Kec. Pengasih, Kabupaten Kulon Progo 55652","Plastik, kertas, kardus, besi, dan lain-lain",-7.834244,110.153313
51,Bank Sampah Induk Dadi Resik,Wates,Kabupaten Kulon Progo,"Kularan RT.02/RW.01, Gebang 1, Triharjo, Kec. Wates, Kabupaten Kulon Progo 55654",Semua jenis,-7.893557,110.105587
52,Bank Sampah Katon Kencono,Nanggulan,Kabupaten Kulon Progo,"Kabupaten Kulon Progo, DIY",Daur ulang,-7.81,110.175
53,Bank Sampah Melati (Pengasih),Pengasih,Kabupaten Kulon Progo,"Kembang RT.16/RW.8, Margosari, Kec. Pengasih, Kabupaten Kulon Progo 55652",Daur ulang,-7.849625,110.174837
54,Bank Sampah Sempu Madani Asri,Lendah,Kabupaten Kulon Progo,"Jl. Sempu, Bumirejo, Kec. Lendah, Kabupaten Kulon Progo 55663",Daur ulang komunitas,-7.899181,110.211492
55,Bank Sampah Seruni,Wates,Kabupaten Kulon Progo,"Jl. Pahlawan No.71, Gerawulan, Kec. Wates, Kabupaten Kulon Progo 55612",Daur ulang,-7.872816,110.15454
56,Bank Sampah Sinergi Berdaya,Sentolo,Kabupaten Kulon Progo,"Kabupaten Kulon Progo, DIY",Daur ulang,-7.866,110.198
57,Bank Sampah Skansa,Pengasih,Kabupaten Kulon Progo,"Jl. Kawijo No.11, Kec. Pengasih, Kabupaten Kulon Progo 55652",Daur ulang,-7.847827,110.168028
58,Depo Sampah Wates,Wates,Kabupaten Kulon Progo,"Jl. Moh. Dawam, Driyan, Kec. Wates, Kabupaten Kulon Progo 55651",Sampah umum,-7.860341,110.155732
59,TPA Sampah Banyuroto,Nanggulan,Kabupaten Kulon Progo,"Dlingo, Banyuroto, Kec. Nanggulan, Kabupaten Kulon Progo 55671","Sampah umum, kompos organik",-7.802913,110.185238
60,TPAS Mbojo,Wates,Kabupaten Kulon Progo,"Gerawulan, Giri Peni, Kec. Wates, Kabupaten Kulon Progo 55651",Sampah umum,-7.87288,110.155919
61,TPS 3R KSM Migunani,Nanggulan,Kabupaten Kulon Progo,"Kabupaten Kulon Progo, DIY",Sampah umum & daur ulang,-7.813,110.165
62,TPS Bandara YIA,Temon,Kabupaten Kulon Progo,"Glagah, Kec. Temon, Kabupaten Kulon Progo, DIY",Sampah umum,-7.9028,110.0578
